"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,Trykking og reproduksjon av innspilte opptak,Svevestøv - TSP,1,2,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Svevestøv - PM10,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Svevestøv - PM2,5",1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Oljeraffinering, kjemisk og farmasøytisk industri",Svevestøv - TSP,2734,2817,2734,2369,3174,3902,3003,2544,2510,1927,2143,2551,2211,2298,2059,2170,2056,1818,1674,1689,1781,1648,1571,1362
,,Svevestøv - PM10,2621,2708,2606,2233,3054,3770,2883,2436,2399,1838,2041,2448,2114,2180,1921,2025,1953,1744,1582,1576,1680,1563,1492,1287
,,"Svevestøv - PM2,5",2508,2602,2479,2100,2935,3638,2762,2324,2286,1746,1938,2347,2027,2089,1816,1914,1869,1681,1508,1487,1597,1488,1428,1217
,,PAH-4,364,371,325,218,242,169,116,99,133,103,111,101,115,91,159,301,99,129,139,125,63,104,26,22
,,Dioksin,498,475,397,446,492,560,543,558,544,356,579,557,256,342,437,523,315,284,321,296,553,466,257,186
,Produksjon av gummi- og plastprodukter,Svevestøv - TSP,4,4,3,5,3,11,9,9,3,3,5,6,4,7,11,14,13,3,3,4,4,5,2,2
